month,score_bucket,mcap_bucket,n_filed,n_measured,pct_measured,median_excess_pct,p25,p75,pct_abs_excess_ge5,pct_abs_excess_ge10,note
2026-07-24..2026-08-14,1-4,large,1750,824,47.1,-0.03,-1.12,1.53,6.9,1.2,
2026-07-24..2026-08-14,1-4,micro,994,496,49.9,0,-2.47,2.01,27.4,11.9,
2026-07-24..2026-08-14,1-4,mid,1507,797,52.9,-0.09,-1.62,1.56,11.8,2.4,
2026-07-24..2026-08-14,1-4,small,1187,633,53.3,-0.08,-1.36,1.45,12.8,3.6,
2026-07-24..2026-08-14,1-4,unknown,97,49,50.5,-0.2,-3.85,0.68,26.5,8.2,
2026-07-24..2026-08-14,5-6,large,1687,788,46.7,0.06,-1.08,1.16,6.5,1.3,
2026-07-24..2026-08-14,5-6,micro,693,494,71.3,0.01,-2.78,1.81,26.9,9.1,
2026-07-24..2026-08-14,5-6,mid,845,606,71.7,-0.22,-1.78,1.67,11.7,2.6,
2026-07-24..2026-08-14,5-6,small,749,565,75.4,0,-1.61,1.56,17,4.2,
2026-07-24..2026-08-14,5-6,unknown,47,22,46.8,,,,,,insufficient_sample
2026-07-24..2026-08-14,7-8,large,1326,918,69.2,-0.17,-2.41,1.98,22.1,6.4,
2026-07-24..2026-08-14,7-8,micro,2596,1871,72.1,0,-4.02,3.43,41.6,22,
2026-07-24..2026-08-14,7-8,mid,1746,1197,68.6,-0.22,-2.88,2.54,29.2,10.9,
2026-07-24..2026-08-14,7-8,small,1810,1238,68.4,0.03,-2.66,3.83,36.9,16.2,
2026-07-24..2026-08-14,7-8,unknown,65,41,63.1,0,-0.59,0.68,19.5,4.9,
2026-07-24..2026-08-14,9-10,large,178,135,75.8,-0.21,-2.95,2.99,27.4,11.1,
2026-07-24..2026-08-14,9-10,micro,685,507,74,-0.59,-5.91,3.46,48.1,26.6,
2026-07-24..2026-08-14,9-10,mid,137,95,69.3,-0.57,-3.62,3.18,42.1,22.1,
2026-07-24..2026-08-14,9-10,small,178,132,74.2,0,-3.34,3.54,37.9,16.7,
2026-07-24..2026-08-14,9-10,unknown,8,8,100,,,,,,insufficient_sample
